Name,IATA,ICAO,Country
Air Macau,NX,AMU,Macao
AMC Airlines,,AMV,Egypt
Air Seychelles,HM,SEY,Seychelles
AeroMéxico,AM,AMX,Mexico
All Nippon Airways,NH,ANA,Japan
Air Nostrum,YW,ANE,Spain
Air Niugini,PX,ANG,Papua New Guinea
Air Arabia,G9,ABY,United Arab Emirates
Air Canada,AC,ACA,Canada
Air Baltic,BT,BTI,Latvia
Air Nippon,EL,ANK,Japan
Airnorth,TL,ANO,Australia
Air North Charter - Canada,4N,ANT,Canada
Air New Zealand,NZ,ANZ,New Zealand
Alitalia Express,XM,SMX,Italy
Aero Flight,GV,ARF,Germany
Arrow Air,JW,APW,United States
Aerocondor,2B,ARD,Portugal
Aires,4C,ARE, S.A.
Aerolineas Argentinas,AR,ARG,Argentina
Alaska Airlines,AS,ASA,ALASKA
Air Sinai,4D,ASD,Egypt
Atlantic Southeast Airlines,EV,ASQ,United States
Astrakhan Airlines,OB,ASZ,Russia
Air Tanzania,TC,ATC,Tanzania
Air Burkina,2J,VBW,Burkina Faso
Airlines Of Tasmania,FO,ATM,Australia
Air Saint Pierre,PJ,SPM,France
Austrian Airlines,OS,AUA,Austria
Air Southwest,,WOW,United Kingdom
Augsburg Airways,IQ,AUB,Germany
ATUR,,TUR,Ecuador
Abu Dhabi Amiri Flight,MO,AUH,United Arab Emirates
Aeroflot-Nord,5N,AUL,Russia
Aurigny Air Services,GR,AUR,United Kingdom
Austral Lineas Aereas,AU,AUT,Argentina
Avianca - Aerovias Nacionales de Colombia,AV,AVA,AVIANCA
Air Vanuatu,NF,AVN,Vanuatu
Air Bangladesh,B9,BGD,Bangladesh
Air Mediterranee,DR,BIE,France
Air Moorea,,TAH,France
Aeroline GmbH,7E,AWU,Germany
Air Wales,6G,AWW,United Kingdom
Air Caraïbes,TX,FWI,France
Air India Express,IX,AXB,India
Air Exel,XT,AXL,Netherlands
AirAsia,AK,AXM,Malaysia
Atlant-Soyuz Airlines,3G,AYZ,Russia
Alitalia,AZ,AZA,Italy
Amaszonas,Z8,AZN,Bolivia
Air Zimbabwe,UM,AZW,Zimbabwe
Aserca Airlines,R7,OCA,Venezuela
Rossiya-Russian Airlines,FV,SDM,Russia
American Eagle Airlines,MQ,EGF,United States
AD Aviation,,VUE,United Kingdom
Air Ivoire,VU,VUN,Ivory Coast
Air Botswana,BP,BOT,Botswana
Air Foyle,GS,UPA,United Kingdom
Air Tahiti,VT,VTA,French Polynesia
Air VIA,VL,VIM,Bulgaria
Africa West,FK,WTA,Togo
ATRAN Cargo Airlines,V8,VAS,Russian Federation
Air China,CA,CCA,China
Aero Condor Peru,Q6,CDP,Peru
Air Chathams,CV,CVA,New Zealand
Air Marshall Islands,CW,CWM,Marshall Islands
Access Air,ZA,CYD,United States
Air Algerie,AH,DAH,Algeria
Adam Air,KI,DHI,Indonesia
Air Dolomiti,EN,DLA,Italy
Aeroflot-Don,D9,DNV,Russia
Air Madrid,NM,DRD,Spain
Aer Lingus,EI,EIN,Ireland
Air Finland,OF,FIF,Finland
Airfix Aviation,,FIX,Finland
Air Pacific,FJ,FJI,Fiji
Atlantic Airways,RC,FLI,Faroe Islands
Air Florida,QH,FLZ,United States
Air Iceland,NY,FXI,Iceland
Air Philippines,2P,GAP,Philippines
Air Guinee Express,2U,GIP,Guinea
Air Greenland,GL,GRL,Denmark
Atlas Air,5Y,GTI,United States
Air Guyane,GG,GUY,French Guiana
Air Bagan,W9,JAB,Myanmar
Air Canada Jazz,QK,JZA,Canada
Atlasjet,KK,KKK,Turkey
Air Koryo,JS,KOR,Democratic People's Republic of Korea
Air Astana,KC,KZR,Kazakhstan
Albanian Airlines,LV,LBC,Albania
Air Alfa,,LFA,Turkey
Aerolane,XL,LNE,Ecuador
Atlantis European Airways,TD,LUR,Armenia
Air Luxor,LK,LXR,Portugal
Air Mauritius,MK,MAU,Mauritius
Air Madagascar,MD,MDG,Madagascar
Air Moldova,9U,MLD,Moldova
Air Plus Comet,A7,MPD,Spain
Astair,8D,,Russian Federation
Aero Contractors,AJ,NIG,Nigeria
Aeropelican Air Services,OT,PEL,Australia
Aer Arann,RE,REA,Ireland
Air Austral,UU,REU,France
Asian Spirit,6K,RIT,Philippines
Air Afrique,RK,RKA,Ivory Coast
Airlinair,A5,RLA,France
Aero Lanka,QL,RLN,Sri Lanka
Air Salone,20,RNE,Sierra Leone
Armavia,U8,RNV,Armenia
AeroRep,P5,RPB,Colombia
Aero-Service,BF,RSR,Republic of the Congo
Aerosur,5L,RSU,Bolivia
Aeronorte,,RTE,Portugal
Avient Aviation,Z3,SMJ,Zimbabwe
Aircompany Yakutia,R3,SYL,Russia
Aeromar,VW,TAO,Mexico
Arkefly,OR,TFL,Netherlands
Airlines PNG,CG,TOK,Papua New Guinea
AirTran Airways,FL,TRS,United States
Air Transat,TS,TSC,Canada
Avialeasing Aviation Company,EC,TWN,Uzbekistan
Tyrolean Airways,VO,TYR,Austria
Aerolineas Galapagos (Aerogal),2K,GLG,Ecuador
Alrosa Mirny Air Enterprise,6R,DRU,Russia
British Airways,BA,BAW,United Kingdom
Biman Bangladesh Airlines,BG,BBC,Bangladesh
Belair Airlines,4T,BHP,Switzerland
Bahamasair,UP,BHS,Bahamas
Balkan Bulgarian Airlines,LZ,,
British International Helicopters,BS,BIH,United Kingdom
BF-Lento OY,,BKF,Finland
Bangkok Airways,PG,BKP,Thailand
Blue1,KF,BLF,Finland
Baltic Airlines,,BLL,Russia
Bearskin Lake Air Service,JV,BLS,Canada
Bellview Airlines,B3,BLV,Nigeria
bmi,BD,BMA,United Kingdom
bmibaby,WW,BMI,United Kingdom
Bemidji Airlines,CH,BMJ,United States
British Midland Regional,,BMR,United Kingdom
Blue Panorama Airlines,BV,BPA,Italy
Budapest Aircraft Services/Manx2,,BPS,Hungary
Bering Air,8E,BRG,United States
Brazilian Air Force,,BRS,Brazil
Belavia Belarusian Airlines,B2,BRU,Belarus
Metro Batavia,7P,BTV,Indonesia
Berjaya Air,J8,BVT,Malaysia
Blue Wings,QW,BWG,Germany
Brit Air,DB,BZH,France
Brussels Airlines,SN,DAT,Belgium
Binter Canarias,NT,IBB,Spain
Blue Air,0B,JOR,Romania
British Mediterranean Airways,KJ,LAJ,United Kingdom
Bulgaria Air,FB,LZB,Bulgaria
Barents AirLink,8N,NKF,Sweden
CAL Cargo Air Lines,5C,ICL,Israel
Calima Aviacion,XG,CLI,Spain
Canadian Airlines,CP,CDN,Canada
Canadian North,5T,MPE,Canada
Cape Air,9K,KAP,United States
Caribbean Airlines,BW,BWA,Trinidad and Tobago
Carpatair,V3,KRP,Romania
Caspian Airlines,RV,CPN,Iran
Cathay Pacific,CX,CPA,Hong Kong SAR of China
Cayman Airways,KX,CAY,Cayman Islands
Cebu Pacific,5J,CEB,Philippines
Central Connect Airlines,,CCG,Czech Republic
Centralwings,C0,CLW,Poland
Charter Air,,CHW,Austria
Chautauqua Airlines,RP,CHQ,United States
China Airlines,CI,CAL,Taiwan
China Eastern Airlines,MU,CES,China
China Southern Airlines,CZ,CSN,China
China United Airlines,HR,CUA,China
Yunnan Airlines,3Q,CYH,China
Cimber Air,QI,CIM,Denmark
Cirrus Airlines,C9,RUS,Germany
City Airline,CF,SDR,Sweden
City Connexion Airlines,G3,CIX,Burundi
CityJet,WX,BCY,Ireland
BA CityFlyer,CJ,CFE,United Kingdom
Click Airways,,CGK,Kyrgyzstan
Coastal Air,DQ,,United States
Colgan Air,9L,CJC,United States
Comair,OH,COM,United States
Comair,MN,CAW,South Africa
CommutAir,C5,UCA,United States
Comores Airlines,KR,CWK,Comoros
Compass Airlines,CP,CPZ,United States
Condor Flugdienst,DE,CFG,Germany
Consorcio Aviaxsa,6A,CHP,Mexico
Contact Air,C3,KIS,Germany
Continental Airlines,CO,COA,United States
Continental Express,CO,,United States
Continental Micronesia,CS,CMI,United States
Conviasa,V0,VCV,Venezuela
Copa Airlines,CM,CMP,Panama
Copterline,,AAQ,Finland
Corendon Airlines,,CAI,Turkey
Corsairfly,SS,CRL,France
Corse-Mediterranee,XK,CCM,France
Crest Aviation,,CAN,United Kingdom
Croatia Airlines,OU,CTN,Croatia
Crown Airways,,CRO,United States
Cubana de Aviación,CU,CUB,Cuba
Cyprus Airways,CY,CYP,Cyprus
Cyprus Turkish Airlines,YK,,Turkey
Czech Airlines,OK,CSA,Czech Republic
DAT Danish Air Transport,DX,DTR,Denmark
Daallo Airlines,D3,DAO,Djibouti
Dalavia,H8,KHB,Russia
Darwin Airline,0D,DWT,Switzerland
Delta Aerotaxi,,DEA,Italy
Delta Air Lines,DL,DAL,United States
Denim Air,,DNM,Netherlands
Deutsche Bahn,2A,,Germany
Djibouti Airlines,D8,DJB,Djibouti
Dniproavia,,UDN,Ukraine
Dominicana de Aviaci,DO,DOA,Dominican Republic
Domodedovo Airlines,E3,DMO,Russia
DonbassAero,5D,UDC,Ukraine
Dragonair,KA,HDA,DRAGON
Druk Air,KB,DRK,Bhutan
Dubrovnik Air,,DBK,Croatia
Dutch Antilles Express,,DNL,Netherlands Antilles
dba,DI,BAG,Germany
EVA Air,BR,EVA,Taiwan
Eagle Air,H7,,Uganda
East African,QU,UGX,Uganda
Eastern Airways,T3,EZE,United Kingdom
Eastland Air,DK,ELA,Australia
Ecuavia,,ECU,Ecuador
Edelweiss Air,WK,EDW,Switzerland
Egyptair,MS,MSR,Egypt
El Al Israel Airlines,LY,ELY,Israel
El-Buraq Air Transport,UZ,BRQ,Libya
Emirates,EK,UAE,United Arab Emirates
Empresa Ecuatoriana De Aviacion,EU,EEA,Ecuador
Eritrean Airlines,B8,ERT,Eritrea
Estonian Air,OV,ELL,Estonia
Ethiopian Airlines,ET,ETH,Ethiopia
Etihad Airways,EY,ETD,United Arab Emirates
Euro Exec Express,RZ,,Sweden
Eurocypria Airlines,UI,ECA,Cyprus
Eurofly Service,GJ,EEU,Italy
Eurolot,K2,ELO,Poland
European Air Express,EA,EAL,Germany
Eurowings,EW,EWG,Germany
Evergreen International Airlines,EZ,EIA,United States
Excel Airways,JN,XLA,United Kingdom
Excel Charter,,XEL,United Kingdom
Express One International,EO,LHN,United States
ExpressJet,XE,BTA,United States
easyJet,U2,EZY,United Kingdom
Far Eastern Air Transport,EF,EFA,Taiwan
Finnair,AY,FIN,Finland
Finncomm Airlines,FC,WBA,Finland
Firefly,FY,FFM,Malaysia
First Air,7F,FAB,Canada
First Choice Airways,DP,FCA,United Kingdom
Flightline,B5,FLT,United Kingdom
Florida West International Airways,RF,FWL,United States
AirAsia X,D7,XAX,Malaysia
FlyLal,TE,LIL,Lithuania
FlyNordic,LF,NDC,Sweden
Flybaboo,F7,BBO,Switzerland
Flybe,BE,BEE,United Kingdom
Flyglobespan,B4,GSM,United Kingdom
Flyhy Cargo Airlines,,FYH,Thailand
Formosa Airlines,VY,FOS,Taiwan
Freedom Air,FP,FRE,United States
Freedom Airlines,,FRL,United States
Frontier Airlines,F9,FFT,United States
Frontier Flying Service,2F,FTA,United States
GB Airways,GT,GBL,United Kingdom
Garuda Indonesia,GA,GIA,Indonesia
Gazpromavia,4G,GZP,Russia
Georgian Airways,A9,TGZ,Georgia
Georgian National Airlines,QB,GFG,Georgia
Germania,ST,GMI,Germany
Germanwings,4U,GWI,Germany
Ghana International Airlines,G0,GHB,Ghana
Go Air,G8,GOW,India
GoJet Airlines,G7,GJS,United States
Gol Transportes Aéreos,G3,GLO,Brazil
Golden Air,DC,GAO,Sweden
Great Lakes Airlines,ZK,GLA,United States
Grupo TACA,TA,TAT,Costa Rica
Gulf Air,,GFA,Oman
Gulf Air Bahrain,GF,GBA,Bahrain
Gulfstream International Airlines,,GFT,United States
Hageland Aviation Services,H6,HAG,United States
Hainan Airlines,HU,CHH,China
Haiti Ambassador Airlines,2T,HAM,Haiti
Hamburg International,4R,HHI,Germany
TUIfly,X3,HLX,Germany
Hapagfly,HF,HLF,Germany
Hawaiian Airlines,HA,HAL,United States
Hawkair,BH,,Canada
Heli France,8H,HFR,France
Helijet,JB,JBA,Canada
Hellas Jet,T4,HEJ,Greece
Hello,HW,FHE,Switzerland
Helvetic Airways,2L,OAW,Switzerland
Hex'Air,UD,HER,France
Highland Airways,,HWY,United Kingdom
Hokkaido International Airlines,HD,ADO,Japan
Hong Kong Airlines,HX,CRK,Hong Kong SAR of China
Hong Kong Express Airways,UO,HKE,Hong Kong SAR of China
Horizon Air,QX,QXE,United States
Horizon Airlines,BN,HZA,Australia
Iberia Airlines,IB,IBE,Spain
Iberworld,TY,IWD,Spain
Ibex Airlines,FW,IBX,Japan
Icar Air,,RAC,Bosnia and Herzegovina
Icelandair,FI,ICE,Iceland
Imair Airlines,IK,ITX,Azerbaijan
IndiGo Airlines,6E,IGO,India
Indian Airlines,IC,IAC,India
Indigo,I9,IBU,United States
Indonesia AirAsia,QZ,AWQ,Indonesia
Indonesian Airlines,IO,IAA,Indonesia
Interair South Africa,D6,ILN,South Africa
Interavia Airlines,ZA,SUW,Russia
Interlink Airlines,ID,ITK,South Africa
Intersky,3L,ISK,Austria
Iran Air,IR,IRA,Iran
Iran Aseman Airlines,EP,IRC,Iran
Iraqi Airways,IA,IAW,Iraq
Island Airlines,IS,,United States
Cargo Plus Aviation,8L,CGP,United Arab Emirates
Islas Airways,IF,ISW,Spain
Islena De Inversiones,WC,ISV,Honduras
Israir,6H,ISR,Israel
Itek Air,GI,IKA,Kyrgyzstan
JAL Express,JC,JEX,Japan
JALways,JO,JAZ,Japan
Japan Airlines,JL,JAL,Japan
Japan Airlines Domestic,JL,JAL,Japan
Japan Asia Airways,EG,JAA,Japan
Japan Transocean Air,NU,JTA,Japan
Jazeera Airways,J9,JZR,Kuwait
Jeju Air,7C,JJA,Republic of Korea
Jet Airways,9W,JAI,India
Jet Airways,QJ,,United States
Jetstar Asia Airways,3K,JSA,Singapore
Jet2.com,LS,EXS,United Kingdom
Jet4You,8J,JFU,Morocco
JetBlue Airways,B6,JBU,United States
Jetairfly,JF,JAF,Belgium
Jetflite,,JEF,Finland
Jetstar Airways,JQ,JST,Australia
Juneyao Airlines,HO,DKH,China
KD Avia,KD,KNI,Russia
KLM Cityhopper,WA,KLC,Netherlands
KLM Royal Dutch Airlines,KL,KLM,Netherlands
Kam Air,RQ,KMF,Afghanistan
Kavminvodyavia,KV,MVD,Russia
Kendell Airlines,,KDA,Australia
Kenmore Air,M5,KEN,United States
Kenya Airways,KQ,KQA,Kenya
Kingfisher Airlines,IT,KFR,India
Kish Air,Y9,IRK,Iran
Kogalymavia Air Company,7K,KGL,Russia
Korean Air,KE,KAL,Republic of Korea
Kosmos,,KSM,Russia
Krasnojarsky Airlines,7B,KJC,Russia
Kuban Airlines,GW,KIL,Russia
Kuwait Airways,KU,KAC,Kuwait
Kuzu Airlines Cargo,GO,KZU,Turkey
LACSA,LR,LRC,Costa Rica
LAN Airlines,LA,LAN,Chile
LAN Argentina,4M,DSM,Argentina
LAN Express,LU,LXP,Chile
LAN Peru,LP,LPE,Peru
LOT Polish Airlines,LO,LOT,Poland
LTE International Airways,XO,LTE,Spain
LTU Austria,L3,LTO,Austria
Lao Airlines,QV,LAO,Lao Peoples Democratic Republic
LatCharter,,LTC,Latvia
Lauda Air,NG,LDA,Austria
Leeward Islands Air Transport,LI,LIA,Antigua and Barbuda
Libyan Arab Airlines,LN,LAA,Libya
Linhas A,LM,LAM,Mozambique
Lion Mentari Airlines,JT,LNI,Indonesia
Luftfahrtgesellschaft Walter,HE,LGW,Germany
Lufthansa,LH,DLH,Germany
Lufthansa Cargo,LH,GEC,Germany
Lufthansa CityLine,CL,CLH,Germany
Lufttransport,L5,LTR,Norway
Luxair,LG,LGL,Luxembourg
L,MJ,LPR,Argentina
MasAir,M7,MAA,Mexico
MAT Macedonian Airlines,IN,MAK,Macedonia
MIAT Mongolian Airlines,OM,MGL,Mongolia
MNG Airlines,MB,MNB,Turkey
Macair Airlines,CC,MCK,Australia
Maersk,DM,,Denmark
Mahan Air,W5,IRM,Iran
Malaysia Airlines,MH,MAS,Malaysia
Malmo Aviation,,SCW,Sweden
Malmö Aviation,TF,SCW,Sweden
Malta Air Charter,R5,MAC,Malta
Malév,MA,MAH,Hungary
Mandala Airlines,RI,MDL,Indonesia
Mandarin Airlines,AE,MDA,Taiwan
Mango,JE,MNO,South Africa
Martinair,MP,MPH,Netherlands
Maxair,8M,MXL,Sweden
Maya Island Air,MW,MYD,Belize
Meridiana,IG,ISS,Italy
Merpati Nusantara Airlines,MZ,MNA,Indonesia
Mesa Airlines,YV,ASH,United States
Mesaba Airlines,XJ,MES,United States
Mexicana de Aviaci,MX,MXA,Mexico
Middle East Airlines,ME,MEA,Lebanon
Midway Airlines,JI,MDW,United States
Midwest Airlines,YX,MEP,United States
Midwest Airlines (Egypt),MY,MWA,Egypt
Moldavian Airlines,2M,MDV,Moldova
Monarch Airlines,ZB,MON,United Kingdom
Myway Airlines,8I,,Italy
Montenegro Airlines,YM,MGX,Montenegro
Morningstar Air Express,,MAL,Canada
Moskovia Airlines,3R,GAI,Russia
Motor Sich,M9,MSI,Ukraine
MyTravel Airways,VZ,MYT,United Kingdom
Myanma Airways,UB,UBA,Myanmar
Myanmar Airways International,8M,MMM,Myanmar
Myflug,,MYA,Iceland
Nasair,UE,NAS,Eritrea
National Jet Systems,NC,NJS,Australia
Nationwide Airlines,CE,NTW,South Africa
Nauru Air Corporation,ON,RON,Nauru
Nepal Airlines,RA,RNA,Nepal
NetJets,1I,EJA,United States
New England Airlines,EJ,NEA,United States
NextJet,2N,NTJ,Sweden
Niki,HG,NLY,Austria
Nok Air,DD,NOK,Thailand
Norfolk County Flight College,,NCF,United Kingdom
North American Airlines,,NTM,Canada
North American Charters,,HMR,Canada
Northern Dene Airways,U7,,Canada
Northwest Airlines,NW,NWA,United States
Northwestern Air,J3,PLR,Canada
Norwegian Air Shuttle,DY,NAX,Norway
Norwegian Aviation College,,TFN,Norway
Nouvel Air Tunisie,BJ,LBT,Tunisia
Novair,1I,NVR,Sweden
Nas Air,XY,KNE,Saudi Arabia
Oasis Hong Kong Airlines,O8,OHK,Hong Kong
Ocean Air,,BCN,Mauritania
Oceanair,O6,ONE,Brazil
Oceanic Airlines,O2,,Guinea
Olympic Airlines,OA,OAL,Greece
Oman Air,WY,OMA,Oman
Omni Air International,OY,OAE,United States
One Two Go Airlines,,OTG,Thailand
Onur Air,8Q,OHY,Turkey
Orenburg Airlines,R2,ORB,Russia
Orient Thai Airlines,OX,OEA,Thailand
Origin Pacific Airways,QO,OGN,New Zealand
Ostfriesische Lufttransport,OL,OLT,Germany
Overland Airways,OJ,OLA,Nigeria
Ozjet Airlines,O7,OZJ,Australia
PAN Air,PV,PNR,Spain
PB Air,9Q,PBA,Thailand
PLUNA,PU,PUA,Uruguay
PMTair,U4,PMT,Cambodia
Jetstar Pacific,BL,PIC,Vietnam
Pacific Coastal Airline,8P,PCO,Canada
Pacific East Asia Cargo Airlines,Q8,PEC,Philippines
Pacific Island Aviation,,PSA,United States
Pacific Wings,LW,NMI,United States
Pakistan International Airlines,PK,PIA,Pakistan
Paramount Airways,I7,PMW,India
Passaredo Transportes Aereos,,PTB,Brazil
Pegasus Airlines,PC,PGT,Turkey
Peninsula Airways,KS,PEN,United States
Philippine Airlines,PR,PAL,Philippines
Piedmont Airlines (1948-1989),PI,PDT,United States
Pinnacle Airlines,9E,FLG,United States
Polet,,POT,Russia
Polynesian Airlines,PH,PAO,Samoa
Porter Airlines,PD,POE,Canada
Portugalia,NI,PGA,Portugal
Potomac Air,BK,PDC,United States
Precision Air,PW,PRF,Tanzania
Privatair,,PTI,Switzerland
Proflight Commuter Services,P0,,Zambia
Qantas,QF,QFA,Australia
Qatar Airways,QR,QTR,Qatar
RACSA,R6,,Guatemala
Kinloss Flying Training Unit,,KIN,United Kingdom
Regional Airlines,FN,,Morocco
Regional Express,ZL,RXA,Australia
Republic Airlines,RW,RPA,United States
Republic Express Airlines,RH,RPH,Indonesia
Rossiya,R4,,Russia
Air Rarotonga,GZ,RAR,Cook Islands
Royal Air Maroc,AT,RAM,Morocco
Royal Brunei Airlines,BI,RBA,Brunei
Royal Jordanian,RJ,RJA,Jordan
Royal Nepal Airlines,RA,RNA,Nepal
Royal Phnom Penh Airways,,PPW,Cambodia
Rusline,,RLU,Russia
Rwandair Express,WB,RWD,Rwanda
Ryan Air Services,,RYA,United States
Ryan International Airlines,RD,RYN,United States
Ryanair,FR,RYR,Ireland
Régional,YS,RAE,France
SATA International,S4,RZO,Portugal
South African Airways,SA,SAA,South Africa
Shaheen Air International,NL,SAI,Pakistan
Scandinavian Airlines System,SK,SAS,Sweden
ScotAirways,,SAY,United Kingdom
S7 Airlines,S7,SBI,Russia
Seaborne Airlines,BB,SBS,United States
Scenic Airlines,,SCE,United States
SriLankan Airlines,UL,ALK,Sri Lanka
Sun Country Airlines,SY,SCX,United States
Southeast Air,,SEA,United States
Sky Express,G3,SEH,Greece
Spicejet,SG,SEJ,India
Star Flyer,7G,SFJ,Japan
Skagway Air Service,N5,SGY,United States
Sahara Airlines,,SHD,Algeria
SATA Air Acores,SP,SAT,Portugal
Singapore Airlines,SQ,SIA,Singapore
Sibaviatrans,5M,SIB,Russia
Skynet Airlines,SI,SIH,Ireland
Sriwijaya Air,SJ,SJY,Indonesia
Sama Airlines,ZS,SMY,Saudi Arabia
Singapore Airlines Cargo,SQ,SQC,Singapore
Siem Reap Airways,FT,SRH,Cambodia
South East Asian Airlines,DG,SRQ,Philippines
Skyservice Airlines,5G,SSV,Canada
Servicios de Transportes A,FS,STU,Argentina
Sudan Airways,SD,SUD,Sudan
Saudi Arabian Airlines,SV,SVA,Saudi Arabia
Southwest Airlines,WN,SWA,United States
Southern Winds Airlines,A4,SWD,Argentina
Swiss International Air Lines,LX,SWR,Switzerland
Swissair,SR,SWR,Switzerland
Swiss European Air Lines,,SWU,Switzerland
Swe Fly,WV,SWV,Sweden
SunExpress,XQ,SXS,Turkey
Syrian Arab Airlines,RB,SYR,Syrian Arab Republic
Skywalk Airlines,AL,SYX,United States
Shandong Airlines,SC,CDG,China
SAS Braathens,,CNO,Norway
Spring Airlines,9S,CQH,China
Sichuan Airlines,3U,CSC,China
Shanghai Airlines,FM,CSH,China
Shenzhen Airlines,ZH,CSZ,China
Sun D'Or,7L,ERO,Israel
SkyEurope,NE,ESK,Slovakia
Sky Europe Airlines,,HSK,Slovakia
Spanair,JK,JKK,Spain
Spirit Airlines,NK,NKS,United States
SATENA,9R,NSE,Colombia
Skywest Airlines,,OZW,Australia
Santa Barbara Airlines,S3,BBR,Venezuela
Sky Airline,H2,SKU,Chile
SkyWest,OO,SKW,United States
Skyways Express,JZ,SKX,Sweden
Skymark Airlines,BC,SKY,Japan
SilkAir,MI,SLK,Singapore
Surinam Airways,PY,SLM,Suriname
Sterling Airlines,NB,SNB,Denmark
Skynet Asia Airways,6J,SNJ,Japan
Solomon Airlines,IE,SOL,Solomon Islands
Southern Airways,,SOU,United States
Saratov Aviation Division,6W,SOV,Russia
Sat Airlines,HZ,SOZ,Kazakhstan
South Pacific Island Airways,,SPI,United States
Shuttle America,S5,TCF,United States
Scat Air,DV,VSV,Kazakhstan
TAME,EQ,TAE,Ecuador
TAM Brazilian Airlines,JJ,TAM,Brazil
TAP Portugal,TP,TAP,Portugal
Tunisair,TU,TAR,Tunisia
Thai Air Cargo,T2,TCG,Thailand
Thomas Cook Airlines,FQ,TCW,Belgium
Thomas Cook Airlines,MT,TCX,United Kingdom
Trigana Air Service,,TGN,Indonesia
Tiger Airways,TR,TGW,Singapore
Tiger Airways Australia,TT,TGW,Australia
Thai Airways International,TG,THA,Thailand
Turk Hava Kurumu Hava Taksi Isletmesi,,THK,Turkey
Thai AirAsia,FD,AIQ,Thailand
Turkish Airlines,TK,THY,Turkey
Tajikistan International Airlines,,TIL,Tajikistan
Twin Jet,T7,TJT,France
Translift Airways,,TLA,Ireland
Trans Mediterranean Airlines,TL,TMA,Lebanon
Tiara Air,3P,TNM,Aruba
Thomsonfly,BY,TOM,United Kingdom
Tropic Air,PM,TOS,Belize
TAMPA,QT,TPA,Colombia
TransAsia Airways,GE,TNA,Taiwan
Transavia Holland,HV,TRA,Netherlands
TACV,VR,TCV,Portugal
Transwest Air,9T,ABS,Canada
Transaero Airlines,UN,TSO,Russia
Turkmenistan Airlines,T5,TUA,Turkmenistan
Tuninter,UG,TUI,Tunisia
Travel Service,QS,TVS,Czech Republic
TUIfly Nordic,6B,BLX,Sweden
TAAG Angola Airlines,DT,DTA,Angola
Turkish Air Force,,HVK,Turkey
TAM Mercosur,PZ,LAP,Paraguay
Trans States Airlines,AX,LOF,United States
Tarom,RO,ROT,Romania
Turan Air,3T,URN,Azerbaijan
TRIP Linhas A,8R,TIB,Brazil
USA3000 Airlines,U5,GWY,United States
United Airlines,UA,UAL,United States
United Air Charters,,UAC,Zimbabwe
Ural Airlines,U6,SVR,Russia
UM Airlines,UF,UKM,Ukraine
US Airways,US,USA,United States
US Helicopter,,USH,United States
UTair Aviation,UT,UTA,Russia
United States Air Force,,AIO,United States
Uzbekistan Airways,HY,UZB,Uzbekistan
